Pays;PNB (en m€);résultat courant avant impôt;impôt courant;impôt différé;autres taxes;Impôt sur les bénéfices;Effectifs (ETP);Filiales CBCR;Filiales Périmètre +;Total Filiales;filiales;Activités;% Contrôle 2014;% Contrôle 2013;
Allemagne;937;30;-4;6;-57;2;6960;12;0;12;BECM Franckfort (succursale de BECM);Banque de Détail;100;;
Allemagne;;;;;;;;;;;Banque fédérative du Crédit Mutuel Franckfort (succursale de BFCM);Banque de financement et activité de marché;100;;
Allemagne;;;;;;;;;;;CM Akquisitions;Autres Sociétés;100;;
Allemagne;;;;;;;;;;;CM-CIC Leasing GmbH;Banque de Détail;100;;
Allemagne;;;;;;;;;;;Targobank AG & CO. KgaA;Banque de Détail;100;;
Allemagne;;;;;;;;;;;Targo Akademie GmbH;Autres Sociétés;100;;
Allemagne;;;;;;;;;;;Targo Deutschland GmbH;Autres Sociétés;100;;
Allemagne;;;;;;;;;;;Targo Dienstleistungs GmbH;Autres Sociétés;100;;
Allemagne;;;;;;;;;;;Targo Finanzberatung GmbH;Banque de Détail;100;;
Allemagne;;;;;;;;;;;Targo IT Consulting GmbH;Autres Sociétés;100;;
Allemagne;;;;;;;;;;;Targo Management AG;Autres Sociétés;100;;
Allemagne;;;;;;;;;;;Targo Realty Services GmbH;Autres Sociétés;100;;
Argentine;0;0;0;0;0;0;0;0;1;1;Cofidis Argentine;Banque de Détail;0;Cession hors groupe;Cession p.212
Bahamas;0;0;0;0;0;0;9;0;3;3;LRM Advisor SA;Banque de financement et activité de marché;0;Dissolution;
Bahamas;;;;;;;;;;;Pasche Bank & Trust Ltd Nassau;Banque de financement et activité de marché;0;Cession hors groupe;Cession p.212
Bahamas;;;;;;;;;;;Serficom Family Office Inc.;Banque de financement et activité de marché;0;Cession hors groupe;Cession p.212
Belgique;420;132;-7;-8;-47;-15;1741;15;1;16;Cofisun;Autres Sociétés;100;;
Belgique;;;;;;;;;;;immo W16;Autres Sociétés;100;;
Belgique;;;;;;;;;;;Béobank (ex Citibank Belgique);Banque de Détail;100;;
Belgique;;;;;;;;;;;BKCP Banque SA;Banque de Détail;96;;
Belgique;;;;;;;;;;;BKCP Immo It SCRL;Banque de Détail;100;;
Belgique;;;;;;;;;;;BKCP Securities;Banque de Détail;100;;
Belgique;;;;;;;;;;;CM-CIC Lease Benelux;Banque de Détail;100;;
Belgique;;;;;;;;;;;CMNE Belgium;Banque de Détail;100;;
Belgique;;;;;;;;;;;Cofidis Belgique;Banque de Détail;100;;
Belgique;;;;;;;;;;;Monabanq Belgique (succursale Monabanq);Banque de Détail;100;;
Belgique;;;;;;;;;;;Mobilease;Banque de Détail;0;Déconsolidation;
Belgique;;;;;;;;;;;OBK Scrl;Banque de Détail;100;;
Belgique;;;;;;;;;;;Banque Transatlantique Belgium;Gestion d'Actif et Banque Privée;100;;
Belgique;;;;;;;;;;;North Europe Life Belgium;Société d'Assurance;100;;
Belgique;;;;;;;;;;;Partners;Société d'Assurance;100;;
Belgique;;;;;;;;;;;Sofimpar;Société d'Assurance;100;;
Brésil;1;0;0;0;0;0;2;2;0;2;Serficom Brasil Gestao de Recursos Ltda;Banque de financement et activité de marché;97;;
Brésil;;;;;;;;;;;Serficom Family Office Brasil Gestao de Recursos Ltda;Banque de financement et activité de marché;100;;
Canada;0;0;0;0;0;0;0;1;0;1;Primonial TI;Gestion d'Actif et Banque Privée;69;;
Espagne;236;105;-25;2;-8;-23;1285;12;0;12;Agrupació AMCI d'Assegurances i Reassegurances SA;Société d'Assurance;94.57;;
Espagne;;;;;;;;;;;Agrupació Bankpyme Pensiones;Société d'Assurance;94.57;;
Espagne;;;;;;;;;;;Agrupació Serveis Administratius;Société d'Assurance;94.57;;
Espagne;;;;;;;;;;;AMDIF;Société d'Assurance;94.57;;
Espagne;;;;;;;;;;;AMSYR;Société d'Assurance;94.57;;
Espagne;;;;;;;;;;;Assistencia Avançada Barcelona;Société d'Assurance;94.57;;
Espagne;;;;;;;;;;;Banco Popular Español;Banque de détail;4;;
Espagne;;;;;;;;;;;Cofidis Espagne (succursale de Cofidis France);Banque de détail;100;;
Espagne;;;;;;;;;;;La Française AM Iberia;Gestion d'Actif et Banque Privée;66;;
Espagne;;;;;;;;;;;Royal Automobile Club de Catalogne;Société d'Assurance;49;;
Espagne;;;;;;;;;;;Targobank Espagne;Banque de Détail;50;;
Espagne;;;;;;;;;;;Voy Mediación;Société d'Assurance;90;;
Etats-Unis;128;169;-9;-29;-4;-38;84;2;0;2;CIC New York (succursale CIC);Multisecteur;100;;
Etats-Unis;;;;;;;;;;;Forum Partners Investment Managment LLC;Gestion d'Actif et Banque Privée;25;;
France;13037;6200;-1289;-106;-2152;-1395;65830;300;54;354;Acman;Banque de Détail;100;;
France;;;;;;;;;;;Actimut;Autres Sociétés;100;;
France;;;;;;;;;;;ACM GIE;Société d'Assurance;100;;
France;;;;;;;;;;;ACM IARD;Société d'Assurance;96;;
France;;;;;;;;;;;ACM Nord IARD;Société d'Assurance;100;;
France;;;;;;;;;;;ACM Services;Société d'Assurance;100;;
France;;;;;;;;;;;ACM Vie;Société d'Assurance;100;;
France;;;;;;;;;;;ACMN Vie;Société d'Assurance;100;;
France;;;;;;;;;;;ACM Vie Société d'Assurance Mutuelle;Société d'Assurance;100;;
France;;;;;;;;;;;Actéa Environnement;Autres Sociétés;100;;
France;;;;;;;;;;;Adepi;Banque de Détail;100;;
France;;;;;;;;;;;Affiches D'Alsace Lorraine;Autres Sociétés;100;;
France;;;;;;;;;;;Agence générale d'informations régionales;Autres Sociétés;0;Déconsolidation;Sortie du périmètre p.44
France;;;;;;;;;;;Alsace Média Participation;Autres Sociétés;100;;
France;;;;;;;;;;;Alsacienne de Portage des DNA;Autres Sociétés;100;;
France;;;;;;;;;;;Altarocca AM AS;Gestion d'Actif et Banque Privée;63,5;;
France;;;;;;;;;;;Arkéa Banking Services;Banque de Détail;100;;
France;;;;;;;;;;;Arkéa Banque Entreprises et Institutionnels;Banque de Détail;100;;
France;;;;;;;;;;;Arkéa Capital 1;OPCVM;100;;
France;;;;;;;;;;;Arkéa Capital Gestion;Gestion d'Actif et Banque Privée;100;;
France;;;;;;;;;;;Arkéa  Capital Investissement;Banque de financement et activité de marché;100;;
France;;;;;;;;;;;Arkéa Capital Partenaires;Banque de financement et activité de marché;100;;
France;;;;;;;;;;;Arkéa Crédit Bail;Banque de Détail;100;;
France;;;;;;;;;;;Arkéa Foncière;Banque de Détail;100;;
France;;;;;;;;;;;Arkéa Home Loans SFH;Banque de Détail;100;;
France;;;;;;;;;;;Arkéa SCD;Banque de Détail;99,95;;
France;;;;;;;;;;;Autofocus 2/4/6;OPCVM;83;;
France;;;;;;;;;;;Autofocus 6;OPCVM;85;;
France;;;;;;;;;;;Autofocus 7;OPCVM;84;;
France;;;;;;;;;;;Bail Actea;Banque de Détail;100;;
France;;;;;;;;;;;Bancas;Banque de Détail;50;;
France;;;;;;;;;;;Banque Européenne du Crédit Mutuel (BECM);Banque de Détail;96;;
France;;;;;;;;;;;Banque fédérative du Crédit Mutuel (BFCM);Multisecteur;100;;
France;;;;;;;;;;;Banque du Groupe Casino;Banque de détail;50;;
France;;;;;;;;;;;Banque Transatlantique;Gestion d'Actif et Banque Privée;100;;
France;;;;;;;;;;;BCMNE;Banque de Détail;100;;
France;;;;;;;;;;;BPE CAP 2/4/6;OPCVM;73;;
France;;;;;;;;;;;BPE Rendement 2018;OPCVM;45;;
France;;;;;;;;;;;Caisse de Bretagne de CMA;Banque de Détail;93;;
France;;;;;;;;;;;Carmen Holding Investissement;Autres Sociétés;0;TUP BFCM;Fusion avec BFCM p.44
France;;;;;;;;;;;Cartes et crédits à la consommation;Banque de Détail;100;;
France;;;;;;;;;;;CD Partenaires (ex Cholet Dupont Partenaires);Gestion d'Actif et Banque Privée;100;;
France;;;;;;;;;;;CIC Est;Banque de Détail;100;;
France;;;;;;;;;;;CIC Iberbanko;Banque de Détail;100;;
France;;;;;;;;;;;CIC Lyonnaise de Banque (LB);Banque de Détail;100;;
France;;;;;;;;;;;CIC Migrations;Autres Sociétés;0;Déconsolidation;Sortie du périmètre … lié à la cession de Banca popolare Milano p.44
France;;;;;;;;;;;CIC Nord Ouest;Banque de Détail;100;;
France;;;;;;;;;;;Cicor;Autres Sociétés;0;Déconsolidation;Sortie du périmètre … lié à la cession de Banca popolare Milano p.44
France;;;;;;;;;;;Cicoval;Autres Sociétés;0;Déconsolidation;Sortie du périmètre … lié à la cession de Banca popolare Milano p.44
France;;;;;;;;;;;CIC  Ouest;Banque de Détail;100;;
France;;;;;;;;;;;CIC Participations;Autres Sociétés;100;;
France;;;;;;;;;;;CIC Sud Ouest;Banque de Détail;100;;
France;;;;;;;;;;;CM-CIC Asset Management;Banque de Détail;74;;
France;;;;;;;;;;;CM-CIC Bail;Banque de Détail;99;;
France;;;;;;;;;;;CM-CIC Capital et Participations;Banque de financement et activité de marché;100;Première consolidation;
France;;;;;;;;;;;CM-CIC Capital Finance;Banque de financement et activité de marché;100;;
France;;;;;;;;;;;CM-CIC Capital Innovation;Banque de financement et activité de marché;100;;
France;;;;;;;;;;;CM-CIC Conseil;Banque de financement et activité de marché;100;;
France;;;;;;;;;;;CM-CIC Epargne Salariale;Banque de Détail;100;;
France;;;;;;;;;;;CM-CIC Factor;Banque de Détail;96;;
France;;;;;;;;;;;CM-CIC Gestion;Banque de Détail;100;;
France;;;;;;;;;;;CM-CIC Immobilier;Banque de Détail;100;;
France;;;;;;;;;;;CM-CIC Investissement;Banque de financement et activité de marché;100;;
France;;;;;;;;;;;CM-CIC Home Loan SFH;Banque de Détail;100;;
France;;;;;;;;;;;CM-CIC Lease;Banque de Détail;100;;
France;;;;;;;;;;;CM-CIC Proximité;Banque de financement et activité de marché;100;;
France;;;;;;;;;;;CM-CIC Securities;Banque de financement et activité de marché;100;;
France;;;;;;;;;;;CM-CIC Services;Autres Sociétés;100;;
France;;;;;;;;;;;CMCP - Crédit Mutuel des Cartes de Paiement;Autres Sociétés;45;;
France;;;;;;;;;;;CM Habitat Gestion;Gestion d'Actif et Banque Privée;0;Liquidation;
France;;;;;;;;;;;CMN Environnement;Autres Sociétés;100;;
France;;;;;;;;;;;CMNE Home Loans FCT;Banque de Détail;100;;
France;;;;;;;;;;;CMNE Performances 2014;OPCVM;0;;
France;;;;;;;;;;;CMNE Selections;OPCVM;36;;
France;;;;;;;;;;;CMN Tel;Autres Sociétés;100;;
France;;;;;;;;;;;Cofidis France;Banque de Détail;100;;
France;;;;;;;;;;;Cofidis Participations;Autres Sociétés;55;;
France;;;;;;;;;;;Compagnie Européenne d'Opérations Immobilières (CEOI);Banque de financement et activité de marché;100;;
France;;;;;;;;;;;Convictions Asset Management;Gestion d'Actif et Banque Privée;30;;
France;;;;;;;;;;;Convictions Classic B;OPCVM;50;;
France;;;;;;;;;;;Courtage CMNE;Société d'Assurance;100;;
France;;;;;;;;;;;CR. Mut. Pierre 1;SCPI;37;;
France;;;;;;;;;;;Creatis;Banque de Détail;100;;
France;;;;;;;;;;;Crédit Foncier et Communal d'Alsace et de Lorraine Banque;Banque de Détail;100;;
France;;;;;;;;;;;Crédit Foncier et Communal d'Alsace et de Lorraine SCF;Banque de Détail;100;;
France;;;;;;;;;;;Crédit Industriel et Commercial (CIC) - IDF;Multisecteur;98.88;;
France;;;;;;;;;;;Crédit Mutuel Arkéa Public Sector SCF;Banque de Détail;100;;
France;;;;;;;;;;;Diademe Global Selection (A);OPCVM;90;;
France;;;;;;;;;;;Distripub;Autres Sociétés;100;;
France;;;;;;;;;;;Digiteo 2;OPCVM;93;;
France;;;;;;;;;;;Documents AP;Autres Sociétés;100;;
France;;;;;;;;;;;Dubly-Douilhet Gestion;Gestion d'Actif et Banque Privée;100;;
France;;;;;;;;;;;Efsa;Autres Sociétés;0;Déconsolidation;Sortie du périmètre … lié à la cession de Banca popolare Milano p.44
France;;;;;;;;;;;EI Telecom;Autres Sociétés;95;;
France;;;;;;;;;;;EIP;Autres Sociétés;100;;
France;;;;;;;;;;;Elixime Janvier 2015;OPCVM;100;;
France;;;;;;;;;;;Elixime Janvier 2016;OPCVM;100;;
France;;;;;;;;;;;Elixime Juin 2014;OPCVM;0;;
France;;;;;;;;;;;Est Bourgogne Médias;Autres Sociétés;100;;
France;;;;;;;;;;;Est Bourgogne Rhône Alpes (EBRA);Autres Sociétés;100;;
France;;;;;;;;;;;Euro-information;Autres Sociétés;100;;
France;;;;;;;;;;;Euro-informaton Développement;Autres Sociétés;100;;
France;;;;;;;;;;;Euro Protection Surveillance;Autres Sociétés;99.97;;
France;;;;;;;;;;;FCP Nord Europe Gestion;Banque de Détail;0;Liquidation;
France;;;;;;;;;;;FCP Richebé Gestion;Banque de Détail;100;;
France;;;;;;;;;;;FCP Richebé Recovery;Banque de Détail;0;Liquidation;
France;;;;;;;;;;;FCPR Nord-Europe 1;OPCVM;52;;
France;;;;;;;;;;;FCT Collectivité;Banque de Détail;100;Première Consolidation;
France;;;;;;;;;;;FCT CMCIC Home Loans;Banque de financement et activité de marché;100;;
France;;;;;;;;;;;FCT LFP Créances Immobilières;Banque de Détail;100;;
France;;;;;;;;;;;Federal Actions Ethiques;OPCVM;56;;
France;;;;;;;;;;;Federal Actions Rendement;OPCVM;93;;
France;;;;;;;;;;;Federal Apal;OPCVM;58;;
France;;;;;;;;;;;Federal Capital Investissement Europe;OPCVM;100;;
France;;;;;;;;;;;Federal Conviction ISR Euro;OPCVM;61;;
France;;;;;;;;;;;Federal Croissance;OPCVM;88;;
France;;;;;;;;;;;Federal Equipements;Banque de Détail;100;;
France;;;;;;;;;;;Federal Essor International;OPCVM;53;;
France;;;;;;;;;;;Federal Finance;Gestion d'Actif et Banque Privée;100;;
France;;;;;;;;;;;Federal Finance Gestion;Gestion d'Actif et Banque Privée;100;;
France;;;;;;;;;;;Federal Indiciel Japon;OPCVM;67;;
France;;;;;;;;;;;Federal Indiciel US;OPCVM;54;;
France;;;;;;;;;;;Federal Multi Actions Europe;OPCVM;72;;
France;;;;;;;;;;;Federal Multi Or et Matières Premières;OPCVM;88;;
France;;;;;;;;;;;Federal Multi Patrimoine;OPCVM;92;;
France;;;;;;;;;;;Federal Multi PME;OPCVM;87;;
France;;;;;;;;;;;Federal Obligation Court Terme;OPCVM;62;;
France;;;;;;;;;;;Federal Opportunité Equilibre;OPCVM;100;;
France;;;;;;;;;;;Federal Opportunité Modéré;OPCVM;98;;
France;;;;;;;;;;;Federal Opportunité Tonique;OPCVM;98;;
France;;;;;;;;;;;Federal Optimal;OPCVM;55;;
France;;;;;;;;;;;Federal Perspectives 2015;OPCVM;88;;
France;;;;;;;;;;;Federal Service;Banque de Détail;98;;
France;;;;;;;;;;;Federal Support Court Terme;OPCVM;33;;
France;;;;;;;;;;;Financière Nord Europe;Autres Sociétés;100;;
France;;;;;;;;;;;Financo;Banque de Détail;100;;
France;;;;;;;;;;;Fininmad;Autres Sociétés;100;;
France;;;;;;;;;;;Fivory (ex BCMI);Banque de Détail;100;;
France;;;;;;;;;;;Foncière Massena;Autres Sociétés;100;;
France;;;;;;;;;;;Formul'Action 2015;OPCVM;98;;
France;;;;;;;;;;;Formul'Action 2017;OPCVM;85;;
France;;;;;;;;;;;Formul'Action 2017 FP;OPCVM;83;;
France;;;;;;;;;;;Formul'Action Sécurité;OPCVM;93;;
France;;;;;;;;;;;Fortunéo;Banque de Détail;100;;
France;;;;;;;;;;;France Régie;Autres Sociétés;100;;
France;;;;;;;;;;;Franklin Gérance;Gestion d'Actif et Banque Privée;0;TUP LF Real Estate Managers;Fusion avec Francaise Real Estate Managers 
France;;;;;;;;;;;GEIE Synergie;Autres Sociétés;100;;
France;;;;;;;;;;;Gesteurop;Banque de Détail;100;;
France;;;;;;;;;;;Gestunion 2;Autres Sociétés;0;Déconsolidation;Sortie du périmètre … lié à la cession de Banca popolare Milano p.44
France;;;;;;;;;;;Gestunion 3;Autres Sociétés;0;Déconsolidation;Sortie du périmètre … lié à la cession de Banca popolare Milano p.44
France;;;;;;;;;;;Gestunion 4;Autres Sociétés;0;Déconsolidation;Sortie du périmètre … lié à la cession de Banca popolare Milano p.44
France;;;;;;;;;;;GICM;Banque de Détail;100;;
France;;;;;;;;;;;GIE BCMNE Gestion;Banque de Détail;100;;
France;;;;;;;;;;;GIE CMN Prestations;Banque de Détail;100;;
France;;;;;;;;;;;GIE Groupe La Française (ex GIE La Française AM);Gestion d'Actif et Banque Privée;100;;
France;;;;;;;;;;;Groupe Cholet-Dupont;Gestion d'Actif et Banque Privée;34;;
France;;;;;;;;;;;Groupe des Assurances du Crédit Mutuel (GACM);Société d'Assurance;100;;
France;;;;;;;;;;;Groupe la Française;Gestion d'Actif et Banque Privée;98;;
France;;;;;;;;;;;Groupe Progrès;Autres Sociétés;100;;
France;;;;;;;;;;;Groupe Républicain Lorrain Communication (GRLC);Autres Sociétés;100;;
France;;;;;;;;;;;Groupe Républicain Lorrain Imprimeries (GRLI);Autres Sociétés;100;;
France;;;;;;;;;;;Impex Finance;Autres Sociétés;0;Déconsolidation;
France;;;;;;;;;;;Immobilière ACM;Société d'Assurance;100;;
France;;;;;;;;;;;Immobilière CMN;Banque de Détail;100;;
France;;;;;;;;;;;Immocity;Autres Sociétés;100;;
France;;;;;;;;;;;Infolis;Société d'Assurance;0;TUP avec CM Arkéa;TUP avec CM Arkéa (p.166)
France;;;;;;;;;;;Jean Bozzi Communication;Autres Sociétés;100;;
France;;;;;;;;;;;Journal de la Haute Marne;Autres Sociétés;50;;
France;;;;;;;;;;;Kaléidoscope;OPCVM;98;;
France;;;;;;;;;;;L'Alsace;Autres Sociétés;0;TUP SAP Alsace;Fusion avec SAP Alsace p.44
France;;;;;;;;;;;L'Est Republicain;Autres Sociétés;92;;
France;;;;;;;;;;;La Française AM Finances Services;Gestion d'Actif et Banque Privée;100;;
France;;;;;;;;;;;La Française AM Gestion Privée;Gestion d'Actif et Banque Privée;100;;
France;;;;;;;;;;;La Française AM International Claims Collection;Gestion d'Actif et Banque Privée;100;;
France;;;;;;;;;;;La Française Inflection Point;Gestion d'Actif et Banque Privée;73.8;;
France;;;;;;;;;;;La Française Investment Solutions (LFIS);Gestion d'Actif et Banque Privée;65;;
France;;;;;;;;;;;La Française des Placements;Gestion d'Actif et Banque Privée;100;;
France;;;;;;;;;;;La Française Real Estate Managers;Gestion d'Actif et Banque Privée;100;;
France;;;;;;;;;;;La Française Real Estate Partners;Gestion d'Actif et Banque Privée;65;;
France;;;;;;;;;;;La Liberté de l'Est;Autres Sociétés;97;;
France;;;;;;;;;;;La Perennité Entreprises;Société d'Assurance;0;TUP ACMN Vie;
France;;;;;;;;;;;La Tribune;Autres Sociétés;100;;
France;;;;;;;;;;;Le Dauphiné Libéré;Autres Sociétés;100;;
France;;;;;;;;;;;Le Republicain Lorrain;Autres Sociétés;100;;
