Pays;PNB (en m€);résultat courant avant impôt;impôt courant;impôt différé;autres taxes;Impôt sur les bénéfices;Effectifs (ETP);Filiales CBCR;Filiales Périmètre +;Total Filiales;filiales;Activités;% Contrôle 2014;% Contrôle 2013;
France;;;;;;;;;;;Les dernières nouvelles d'Alsace;Autres Sociétés;100;;
France;;;;;;;;;;;Les dernières nouvelles de Colmar;Autres Sociétés;100;;
France;;;;;;;;;;;Les Editions de l'Echiquier;Autres Sociétés;0;TUP SAP Alsace;
France;;;;;;;;;;;Leasecom;Banque de Détail;100;;
France;;;;;;;;;;;Leasecom Car;Banque de Détail;100;;
France;;;;;;;;;;;Leasecom Financial Assets;Banque de Détail;100;;
France;;;;;;;;;;;Leasecom Group;Banque de Détail;100;;
France;;;;;;;;;;;LFIP Multitrends;OPCVM;48;;
France;;;;;;;;;;;LFIS Perspectiv 1C. C;OPCVM;0;;
France;;;;;;;;;;;LFP Actions Euros IRS ( R );OPCVM;0;;
France;;;;;;;;;;;LFP Actions Monde FCP;OPCVM;48;;
France;;;;;;;;;;;LFP Allocation 7 ( R );OPCVM;61;;
France;;;;;;;;;;;LFP Allocation Volatilité PI;OPCVM;84;;
France;;;;;;;;;;;LFP Allocation Volatilité PR;OPCVM;98;;
France;;;;;;;;;;;LFP Alteram Event;OPCVM;83;;
France;;;;;;;;;;;LFP Alteram Multiarbitrage II;OPCVM;86;;
France;;;;;;;;;;;LFP Alteram Multiarbitrages;OPCVM;86;;
France;;;;;;;;;;;LFP CDS 3 ANS (S);OPCVM;0;;
France;;;;;;;;;;;LFP Convertible Dynamique P;OPCVM;0;;
France;;;;;;;;;;;LFP Coussin Opportun. FCP 3DEC;OPCVM;100;;
France;;;;;;;;;;;LFP Credit Flexible Inter R;OPCVM;0;;
France;;;;;;;;;;;LFP European Fund of Funds SI.;SCPI;91;;
France;;;;;;;;;;;LFP Foncieres Europe ( R );OPCVM;56;;
France;;;;;;;;;;;LFP Grands Vignobles;SCPI;63;;
France;;;;;;;;;;;LFP Horizon 2014;OPCVM;87;;
France;;;;;;;;;;;LFP IMMO SR 2;SCPI;36;;
France;;;;;;;;;;;LFP Inflation Plus;OPCVM;41;;
France;;;;;;;;;;;LFP Libroblig FCP 5DEC;OPCVM;84;;
France;;;;;;;;;;;LFP Multistrategies Obligatair;OPCVM;0;;
France;;;;;;;;;;;LFP Multi Trends;OPCVM;0;;
France;;;;;;;;;;;LFP Nexity Services Immobilier;Autres Sociétés;24;;
France;;;;;;;;;;;LFP Obligations Emergentes P;OPCVM;51;;
France;;;;;;;;;;;LFP Obligations ISR D;OPCVM;0;;
France;;;;;;;;;;;LFP Obligations LT;OPCVM;37;;
France;;;;;;;;;;;LFP Opsis Assurance;SCPI;98;;
France;;;;;;;;;;;LFP Opsis Patrimoine Partenair;SCPI;48;;
France;;;;;;;;;;;LFP Patrimoine Emergent I;OPCVM;0;;
France;;;;;;;;;;;LFP Patrimoine Emergent P;OPCVM;0;;
France;;;;;;;;;;;LFP Patrimoine Flexible R;OPCVM;91;;
France;;;;;;;;;;;LFP Pierre;SCPI;56;;
France;;;;;;;;;;;LFP Premium Emergents R;OPCVM;97;;
France;;;;;;;;;;;LFP Profil Performance R;OPCVM;73;;
France;;;;;;;;;;;LFP Profil Regularite R;OPCVM;88;;
France;;;;;;;;;;;LFP Rendement 2017 R;OPCVM;0;;
France;;;;;;;;;;;LFP Selection Emerging;OPCVM;51;;
France;;;;;;;;;;;LFP Trésorerie Active R;OPCVM;39;;
France;;;;;;;;;;;LFP Trésorerie B FCP 4DEC;OPCVM;95;;
France;;;;;;;;;;;LFP Trésorerie MOYEN TERME R;OPCVM;99;;
France;;;;;;;;;;;LFP Trésorerie R;OPCVM;0;;
France;;;;;;;;;;;Marsovalor;Autres Sociétés;0;Déconsolidation;Sortie du périmètre … lié à la cession de Banca popolare Milano p.44
France;;;;;;;;;;;Massena Property;Société d'Assurance;100;;
France;;;;;;;;;;;Massimob;Société d'Assurance;100;;
France;;;;;;;;;;;Mediaportage;Autres Sociétés;100;;
France;;;;;;;;;;;Monabanq;Banque de Détail;100;;
France;;;;;;;;;;;Monex;Banque de Détail;100;;
France;;;;;;;;;;;MTRL;Société d'Assurance;100;;
France;;;;;;;;;;;Néa Arbitrages;OPCVM;0;;
France;;;;;;;;;;;New Alpha Asset Management;Gestion d'Actif et Banque Privée;100;;
France;;;;;;;;;;;Next Advisor;Banque de Détail;100;;
France;;;;;;;;;;;Next Invest;OPCVM;55;;
France;;;;;;;;;;;Nord Europe Assurances;Société d'Assurance;100;;
France;;;;;;;;;;;Nord Europe Lease (ex Bail immo Nord);Banque de Détail;100;;
France;;;;;;;;;;;Nord Europe Partenariat;Banque de financement et activité de marché;100;;
France;;;;;;;;;;;Nord Europe Participations et Investissements (NEPI);Autres Sociétés;100;;
France;;;;;;;;;;;Nord Europe Retraite;Société d'Assurance;100;;
France;;;;;;;;;;;Nord Ouest Entrepreneurs 4;OPCVM;81;;
France;;;;;;;;;;;Nouvelles Expertises et Talents AM;Autres Sociétés;100;;
France;;;;;;;;;;;Novelia;Société d'Assurance;100;;
France;;;;;;;;;;;Océan Participations;Banque de financement et activité de marché;100;;
France;;;;;;;;;;;OPCI Preims Euros;OPCVM;100;;
France;;;;;;;;;;;OPCI Raspail;Banque de Détail;100;;
France;;;;;;;;;;;Parisii Gestion Privée;Gestion d'Actif et Banque Privée;69;;
France;;;;;;;;;;;Pargestion 2;Autres Sociétés;0;Déconsolidation;Sortie du périmètre … lié à la cession de Banca popolare Milano p.44
France;;;;;;;;;;;Pargestion 4;Autres Sociétés;0;Déconsolidation;Sortie du périmètre … lié à la cession de Banca popolare Milano p.44
France;;;;;;;;;;;Patrimmofi;Gestion d'Actif et Banque Privée;69;;
France;;;;;;;;;;;Pierre Expansion;SCPI;85;;
France;;;;;;;;;;;Placinvest;Autres Sociétés;0;Déconsolidation;Sortie du périmètre … lié à la cession de Banca popolare Milano p.44
France;;;;;;;;;;;Presse Diffusion;Autres Sociétés;100;;
France;;;;;;;;;;;Primonial;Gestion d'Actif et Banque Privée;69;;
France;;;;;;;;;;;Primonial Asset Management;Gestion d'Actif et Banque Privée;69;;
France;;;;;;;;;;;Primonial Courtage;Gestion d'Actif et Banque Privée;69;;
France;;;;;;;;;;;Primonial Holdings;Gestion d'Actif et Banque Privée;69;;
France;;;;;;;;;;;Primonial Investment Manager;Gestion d'Actif et Banque Privée;69;;
France;;;;;;;;;;;Primonial Reim;Gestion d'Actif et Banque Privée;45;;
France;;;;;;;;;;;Procapital;Banque de Détail;100;;
France;;;;;;;;;;;Procourtage;Société d'Assurance;100;;
France;;;;;;;;;;;Publiprint Dauphiné;Autres Sociétés;100;;
France;;;;;;;;;;;Publiprint Provinces n°1;Autres Sociétés;100;;
France;;;;;;;;;;;Républicain Lorrain Communication;Autres Sociétés;100;;
France;;;;;;;;;;;Républicain Lorrain TV News;Autres Sociétés;100;;
France;;;;;;;;;;;Roche Brune AM SAS;Gestion d'Actif et Banque Privée;47;;
France;;;;;;;;;;;Roto Offset Imprimeries;Autres Sociétés;0;TUP Editions de l'Echiquier;
France;;;;;;;;;;;Saint-Pierre SNC;Banque de Détail;0;Déconsolidation;Déconsolidation pour activités non significatives p.212
France;;;;;;;;;;;SAS Volney Bocage;Banque de Détail;100;;
France;;;;;;;;;;;SAP Alsace (ex SFEJIC);Autres Sociétés;99;;
France;;;;;;;;;;;Schelcher Euros Rendement;OPCVM;25;;
France;;;;;;;;;;;Schelcher Prince Gestion;Gestion d'Actif et Banque Privée;84;;
France;;;;;;;;;;;SCI ACM;Autres Sociétés;100;;
France;;;;;;;;;;;SCI Alsace;Autres Sociétés;0;TUP SAP Alsace;
France;;;;;;;;;;;SCI Centre Gare;Autres Sociétés;100;;
France;;;;;;;;;;;SCI CMN;Banque de Détail;100;;
France;;;;;;;;;;;SCI CMN 1;Banque de Détail;100;;
France;;;;;;;;;;;SCI CMN 2;Banque de Détail;100;;
France;;;;;;;;;;;SCI CMN 3;Banque de Détail;100;;
France;;;;;;;;;;;SCI CMN location;Banque de Détail;100;;
France;;;;;;;;;;;SCI CMN location 2;Banque de Détail;100;;
France;;;;;;;;;;;SCI CMN Richebé Inkerman;Banque de Détail;100;;
France;;;;;;;;;;;SCI Eurosic Cotentin;Société d'Assurance;49.1;;
France;;;;;;;;;;;SCI Interfédéral;Banque de Détail;100;;
France;;;;;;;;;;;SCI La Tréflière;Banque de Détail;100;;
France;;;;;;;;;;;SCI Le Progrès Confluence;Autres Sociétés;100;;
France;;;;;;;;;;;SCI Merlet Immobilier;Banque de Détail;100;;
France;;;;;;;;;;;SCI Perennite Pierre;SCPI;92;;
France;;;;;;;;;;;SCI Raspail Vavin Invest;Banque de Détail;100;;
France;;;;;;;;;;;SCPI LFP Europimmo;SCPI;70;;
France;;;;;;;;;;;SCPI LFP Opportunité Immo;SCPI;0;;
France;;;;;;;;;;;SCPI Patrimmo Croissance;OPCVM;69;;
France;;;;;;;;;;;SCPI Pierval Santé;SCPI;77;;
France;;;;;;;;;;;SDR de Normandie;Banque de financement et activité de marché;0;Liquidation;
France;;;;;;;;;;;Sefal Property;Gestion d'Actif et Banque Privée;46;;
France;;;;;;;;;;;Serenis Assurances;Société d'Assurance;100;;
France;;;;;;;;;;;Serenis Vie;Société d'Assurance;100;;
France;;;;;;;;;;;Sicorfe Maintenance;Autres Sociétés;90;;
France;;;;;;;;;;;Siparex Proximité Innovation;Banque de financement et activité de marché;46;;
France;;;;;;;;;;;Société Civile de Gestion des Parts dans l'Alsace (SCGPA);Autres Sociétés;100;;
France;;;;;;;;;;;Société d'Editions de l'Hebdomadaire du Louhanais et du Jura;Autres Sociétés;100;;
France;;;;;;;;;;;Société de Presse Investissement (SPI);Autres Sociétés;100;;
France;;;;;;;;;;;Société Holding Partenaires;Gestion d'Actif et Banque Privée;51;;
France;;;;;;;;;;;Sodelem Services;Autres Sociétés;0;Déconsolidation;
France;;;;;;;;;;;SOFEMO - Société Fédérative Europ. De Monétique et de Financement;Banque de Détail;100;;
France;;;;;;;;;;;Sofiholding 2;Autres Sociétés;0;Déconsolidation;Sortie du périmètre … lié à la cession de Banca popolare Milano p.44
France;;;;;;;;;;;Sofiholding 3;Autres Sociétés;0;Déconsolidation;Sortie du périmètre … lié à la cession de Banca popolare Milano p.44
France;;;;;;;;;;;Sofiholding 4;Autres Sociétés;0;Déconsolidation;Sortie du périmètre … lié à la cession de Banca popolare Milano p.44
France;;;;;;;;;;;Sofim;Banque de Détail;0;Absorbtion;Absorbtion par CIC Nord Ouestp.44
France;;;;;;;;;;;Sofimmo 3;Autres Sociétés;100;;
France;;;;;;;;;;;Sofinaction;Autres Sociétés;0;Déconsolidation;Sortie du périmètre … lié à la cession de Banca popolare Milano p.44
France;;;;;;;;;;;SP Convertibles ISR Europe;OPCVM;35;;
France;;;;;;;;;;;Sportinvest;Gestion d'Actif et Banque Privée;69;;
France;;;;;;;;;;;Stereo 3;OPCVM;97;;
France;;;;;;;;;;;Stereo 3/6;OPCVM;99;;
France;;;;;;;;;;;Stereo 4;OPCVM;99;;
France;;;;;;;;;;;Stereo 4/8;OPCVM;98;;
France;;;;;;;;;;;Suravenir;Société d'Assurance;100;;
France;;;;;;;;;;;Suravenir Assurances;Société d'Assurance;100;;
France;;;;;;;;;;;Suravenir Initiative Actions;OPCVM;100;;
France;;;;;;;;;;;Suravenir Référence Actions;OPCVM;100;;
France;;;;;;;;;;;Swell Clas. GTAA FD UCITS S FCP;OPCVM;99;;
France;;;;;;;;;;;Swell Soft GTAA Fund;OPCVM;100;;
France;;;;;;;;;;;Synergie Finance Investissement;OPCVM;100;;
France;;;;;;;;;;;Theia Viager;Banque de Détail;80;Création;
France;;;;;;;;;;;Transactimmo;Banque de Détail;100;;
France;;;;;;;;;;;Transatlantique Gestion;Gestion d'Actif et Banque Privée;100;;
France;;;;;;;;;;;Sudinnova;Banque de financement et activité de marché;66;;
France;;;;;;;;;;;UFG Alteram Stratégies Futures;OPCVM;0;;
France;;;;;;;;;;;UFG Pixel 1;SCPI;80;;
France;;;;;;;;;;;UFG Property Managers;Gestion d'Actif et Banque Privée;100;;
France;;;;;;;;;;;Ufigestion 2;Autres Sociétés;0;Déconsolidation;Sortie du périmètre … lié à la cession de Banca popolare Milano p.44
France;;;;;;;;;;;Union Immobilière Océan SCI;Autres Sociétés;100;;
France;;;;;;;;;;;Ugépar Services;Autres Sociétés;0;Déconsolidation;Sortie du périmètre … lié à la cession de Banca popolare Milano p.44
France;;;;;;;;;;;Valimar 2;Autres Sociétés;0;Déconsolidation;Sortie du périmètre … lié à la cession de Banca popolare Milano p.44
France;;;;;;;;;;;Valimar 4;Autres Sociétés;0;Déconsolidation;Sortie du périmètre … lié à la cession de Banca popolare Milano p.44
France;;;;;;;;;;;VTP 1;Autres Sociétés;0;Déconsolidation;Sortie du périmètre … lié à la cession de Banca popolare Milano p.44
France;;;;;;;;;;;VTP 5;Autres Sociétés;0;Déconsolidation;Sortie du périmètre … lié à la cession de Banca popolare Milano p.44
France;;;;;;;;;;;Vendatour Investissement;Autres Sociétés;100;;
France;;;;;;;;;;;Vie Services;Société d'Assurance;100;;
France;;;;;;;;;;;Volney Développement;Banque de financement et activité de marché;100;;
France;;;;;;;;;;;Voltaire Capital;Gestion d'Actif et Banque Privée;69;;
France;;;;;;;;;;;Yucatan 3;OPCVM;95;;
France;;;;;;;;;;;Yucatan 4;OPCVM;93;;
France;;;;;;;;;;;Zephyr Home Loans FCT;Banque de Détail;100;;
Hong Kong;0;0;0;0;0;0;0;1;0;1;JKC Capital Managment Ltd;Gestion d'Actif et Banque Privée;50;;
Hongrie;17;2;0;0;-1;0;153;1;0;1;Cofidis Hongrie (succursale de Cofidis France);Banque de Détail;100;;
Îles Caïmans;1;1;0;0;0;0;0;0;2;2;Calypso Management Company;Banque de financement et activité de marché;0;Dissolution;
Îles Caïmans;;;;;;;;;;;Lafayette CLO 1 Ltd.;Banque de financement et activité de marché;0;Déconsolidation;Déconsolidation pour activités non significatives p.212
Italie;26;-11;0;0;0;0;138;1;1;2;Banca Popolare di Milano;Banque de détail;0;Cession hors groupe;Cession p.212
Italie;;;;;;;;;;;Cofidis Italie;Banque de Détail;100;;
Liechtenstein;0;0;0;0;0;0;13;0;1;1;Banque Pasche Liechtenstein AG;Gestion d'Actif et Banque Privée;0;Cession hors groupe;Cession p.212
Luxembourg;292;129;-18;-3;-19;-21;831;25;4;29;ACM RE;Société d'Assurance;100;;
Luxembourg;;;;;;;;;;;Axa IM ILS Fund G;OPCVM;36;;
Luxembourg;;;;;;;;;;;Banque du Luxembourg;Gestion d'Actif et Banque Privée;100;;
Luxembourg;;;;;;;;;;;Banque transatlantique Luxembourg;Gestion d'Actif et Banque Privée;100;;
Luxembourg;;;;;;;;;;;BKCP Core Fund Class A;OPCVM;0;;
Luxembourg;;;;;;;;;;;BKCP Core Fund Class B;OPCVM;0;;
Luxembourg;;;;;;;;;;;Cigogne Management;Banque de financement et activité de marché;100;;
Luxembourg;;;;;;;;;;;CP-BK Reinsurance;Société d'Assurance;100;;
Luxembourg;;;;;;;;;;;Diversified Debt Securities SICAV-SIF;Banque de financement et activité de marché;100;;
Luxembourg;;;;;;;;;;;Divhold;Banque de financement et activité de marché;100;;
Luxembourg;;;;;;;;;;;ICM Life;Société d'Assurance;100;;
Luxembourg;;;;;;;;;;;La Française AM Fund - LFP Rendement Global 2022 Classe R US DH;OPCVM;74;;
Luxembourg;;;;;;;;;;;La Française AM International;Gestion d'Actif et Banque Privée;100;;
Luxembourg;;;;;;;;;;;La Française Bank (ex La Française AM Private Bank);Gestion d'Actif et Banque Privée;100;;
Luxembourg;;;;;;;;;;;LF AM LFP MUL O BC C.;OPCVM;100;;
Luxembourg;;;;;;;;;;;LF AM LFPFSGIRE ID D.;OPCVM;93;;
Luxembourg;;;;;;;;;;;LFIP Leaders Emergents;OPCVM;70;;
Luxembourg;;;;;;;;;;;LFIP Trend Opportunities;OPCVM;81;;
Luxembourg;;;;;;;;;;;LFIS Vision Absolute Return IS;OPCVM;0;;
Luxembourg;;;;;;;;;;;LFIS Vision Credit OPP. I Eur;OPCVM;55;;
Luxembourg;;;;;;;;;;;LFP Leaders Emergents;OPCVM;0;;
Luxembourg;;;;;;;;;;;LFP Opportunity Delff Eur HGH;OPCVM;59;;
Luxembourg;;;;;;;;;;;LFP S&P Capital IQ FUND - LFP R2P Global High Yield I CAP EUR;OPCVM;100;;
Luxembourg;;;;;;;;;;;LFP S&P Capital IQ FUND - LFP R2P Global High Yield R CAP USD;OPCVM;98;;
Luxembourg;;;;;;;;;;;LFP SV;Banque de financement et activité de marché;100;;
Luxembourg;;;;;;;;;;;Lumedia;Autres Sociétés;50;;
Luxembourg;;;;;;;;;;;Nord Europe Life Luxembourg;Société d'Assurance;100;;
Luxembourg;;;;;;;;;;;Primonial Luxembourg;Gestion d'Actif et Banque Privée;69;;
Luxembourg;;;;;;;;;;;UFG  IC Fund;OPCVM;44;;
Maroc;0;-33;0;0;0;0;0;2;0;2;Banque Marocaine du Commerce Extérieur (BECM);Banque de Détail;26;;
Maroc;;;;;;;;;;;RMA Watanya;Société d'Assurance;22;;
Monaco;2;1;0;0;0;0;9;2;0;2;Banque Européenne du Crédit Mutuel Monaco;Banque de Détail;100;;
Monaco;;;;;;;;;;;Trinity SAM (ex Banque Pasche Monaco SAM);Gestion d'Actif et Banque Privée;100;;
Pays-Bas;0;0;0;0;0;0;0;1;0;1;Forum Holdings B.V.;Gestion d'Actif et Banque Privée;25;;
Portugal;109;53;-15;0;-3;-15;399;1;0;1;Cofidis Portugal (succursale de Cofidis France);Banque de Détail;100;;
République Tchèque;8;-1;0;0;-1;0;152;1;0;1;Cofidis République Tchèque;Banque de Détail;100;;
Royaume-Uni;43;39;-9;1;-3;-8;50;6;1;7;Banque Transatlantique Londes (succursale de BT);Gestion d'Actif et Banque Privée;100;;
Royaume-Uni;;;;;;;;;;;CIC Londres (succursale du CIC);Multisecteur;100;;
Royaume-Uni;;;;;;;;;;;CM-CIC Securities London Branch (succursale de CM-CIC Securities);Banque de financement et activité de marché;0;Déconsolidation;Déconsolidation pour activités non significatives p.212
Royaume-Uni;;;;;;;;;;;Inflection Point Capital Management Ltd;Gestion d'Actif et Banque Privée;49;;
Royaume-Uni;;;;;;;;;;;La Française Global Real Estate Investment Management Ltd;Gestion d'Actif et Banque Privée;100;;
Royaume-Uni;;;;;;;;;;;LFF Real Estate Partners Ltd;Gestion d'Actif et Banque Privée;62.79;;
Royaume-Uni;;;;;;;;;;;Tages Capital LLP;Gestion d'Actif et Banque Privée;40;;
Saint Martin (Antilles Néerlandaises);2;0;0;0;0;0;7;1;0;1;BECM Saint Martin (succursale BECM);Banque de Détail;100;;
Singapour;65;19;-2;0;-2;-2;214;3;0;3;Banque transatlantique Singapore;Gestion d'Actif et Banque Privée;100;;
Singapour;;;;;;;;;;;CIC Singapour (succursale du CIC);Multisecteur;100;;
Singapour;;;;;;;;;;;Targo IT Consulting GmbH Singapore (succursale de Targo IT Consulting GmbH);Autres Sociétés;100;;
Slovaquie;0;-1;0;0;0;0;2;1;0;1;Cofidis Slovaquie;Banque de Détail;100;;
Suisse;87;3;-1;0;-12;-1;350;4;1;5;Agefor SA Genève;Gestion d'Actif et Banque Privée;0;Cession hors groupe;
Suisse;;;;;;;;;;;Banque Pasche;Gestion d'Actif et Banque Privée;100;;
Suisse;;;;;;;;;;;CIC Suisse;Gestion d'Actif et Banque Privée;100;;
Suisse;;;;;;;;;;;Pasche Finance SA Fribourg;Gestion d'Actif et Banque Privée;100;;
Suisse;;;;;;;;;;;Serficom Family Office SA;Gestion d'Actif et Banque Privée;100;;
Tunisie;0;15;0;0;0;0;0;2;0;2;Astree;Société d'Assurance;30;;
