Pays ;PNB en m€;résultat courant avant impôt;impôt courant ;impôt différé;impôt sur les bénéfices;Effectifs (ETP);Filiales CBCR;Filiales périmètre en +;Total Filiales;Filiales;Activités;Mouvement de périmètre
Inde;;;;;;;;;;SG Mumbai;Bank;
Inde;;;;;;;;;;Société Générale global solution centre private;Services;
Irlande;5 ;13 ;0 ;0 ;0 ;53 ;10;3;13;ALD RE Limited;Insurance;
Irlande;;;;;;;;;;Condorcet Global opportunity Unit trust;Financial company;
Irlande;;;;;;;;;;Condorcet volatility arbitrage Limited;Financial company;entité déconsolidée en 2014
Irlande;;;;;;;;;;Condorcet Unit trust - Condorcet capital structure arbitrage fund;Financial company;entité déconsolidée en 2014
Irlande;;;;;;;;;;EFS SA Branch Dublin;Financial company;
Irlande;;;;;;;;;;Inora Life Ltd;Insurance;
Irlande;;;;;;;;;;Iris II SPV Limited;Financial company;
Irlande;;;;;;;;;;Lyxor Asset Management (Ireland) Limited;;entité déconsolidée en 2014
Irlande;;;;;;;;;;RED & Black Prime Russia MBS;Financial company;
Irlande;;;;;;;;;;SG Dublin;Bank;
Irlande;;;;;;;;;;SGBT Finance Ireland Limited;Specialist Financing;
Irlande;;;;;;;;;;SGSS (Ireland) Limited ;Financial company;
Irlande;;;;;;;;;;Société Générale Hedging Limited;Financial company;
Italie;619 ;114 ;-70 ;32 ;-38 ;1938 ;13;0;13;ALD Automotive Italia SRL;Specialist Financing;
Italie;;;;;;;;;;CGL Italia SPA;Financial company;
Italie;;;;;;;;;;Fiditalia SPA;Specialist Financing;
Italie;;;;;;;;;;FRAER leasing SPA;Specialist Financing;
Italie;;;;;;;;;;SG Equipment finance Italy SPA;Specialist Financing;
Italie;;;;;;;;;;SG factoring SPA;Specialist Financing;
Italie;;;;;;;;;;SG leasing SPA;Specialist Financing;
Italie;;;;;;;;;;SG Milan;Bank;
Italie;;;;;;;;;;SGB Finance Italia SPA;Financial company;
Italie;;;;;;;;;;Socecap SA rappresentanza generale per l'Italia;Insurance;
Italie;;;;;;;;;;Société Générale Italia holding SPA;Specialist Financing;
Italie;;;;;;;;;;Société Générale securities services SPA;Bank;
Italie;;;;;;;;;;Sogessur SA;Insurance;
Japon;306 ;179 ;-42 ;-4 ;-46 ;284 ;4;0;4;Lyxor asset management Japan Co Ltd;Portfolio management;
Japon;;;;;;;;;;Newedge Japan Inc;Broker;
Japon;;;;;;;;;;SG Tokyo;Bank;
Japon;;;;;;;;;;Société Générale securities (North Pacific) Ltd Tokyo branch;Bank;
Jersey;60 ;20 ;-2 ;0 ;-2 ;219 ;16;0;16;Claris IV Limited;Financial company;
Jersey;;;;;;;;;;Elmford Limited;Services;
Jersey;;;;;;;;;;Hanom I Limited;Financial company;
Jersey;;;;;;;;;;Hanom II Limited;Financial company;
Jersey;;;;;;;;;;Hanom III Limited;Financial company;
Jersey;;;;;;;;;;JD Corporate services Limited;Services;
Jersey;;;;;;;;;;Lyxor Master fund;Financial company;
Jersey;;;;;;;;;;Newmead trustees Limited;Financial company;
Jersey;;;;;;;;;;SG Hambros (foundations) Ltd;Financial company;
Jersey;;;;;;;;;;SG Hambros Bank (channel Islands) Ltd;Bank;
Jersey;;;;;;;;;;SG Hambros fund managers (Jersey Ltd);Portfolio management;
Jersey;;;;;;;;;;SG Hambros nominees (Jersey) Ltd;Financial company;
Jersey;;;;;;;;;;SG Hambros properties (Jersey) Ltd;Financial company;
Jersey;;;;;;;;;;SG Hambros trust company (Channel islands) Ltd;Financial company;
Jersey;;;;;;;;;;SGH Trustees (Jersey Limited);Services;
Jersey;;;;;;;;;;Solentis Investment solutions PCC;Financial company;
Lettonie;;1 ;;;;;1;0;1;ALD Automotive SIA;Specialist Financing;Mise en équivalence
Liban;;15 ;;;;;1;0;1;SG de banque au Liban;Bank;Mise en équivalence
Lituanie;;1 ;;;;;1;0;1;UAB ALD Automotive;Specialist Financing;Mise en équivalence
Luxembourg;834 ;590 ;-96 ;-26 ;-122 ;1275 ;24;3;27;ALEF II;Financial company;entité désormais consolidée directement
Luxembourg;;;;;;;;;;Axus Luxembourg SA;Financial company;
Luxembourg;;;;;;;;;;Chabon SA;Specialist Financing;
Luxembourg;;;;;;;;;;Codeis securities SA;Financial company;
Luxembourg;;;;;;;;;;Comptoir de valeurs de banque;Financial company;company carrying out sub-consolidation
Luxembourg;;;;;;;;;;european fund services SA;Financial company;
Luxembourg;;;;;;;;;;Generas SA;Insurance;entité déconsolidée en 2014
Luxembourg;;;;;;;;;;Halysa SA;Financial company;entité déconsolidée en 2014
Luxembourg;;;;;;;;;;IVEFI SA;Financial company;
Luxembourg;;;;;;;;;;LX Finanz SARL;Financial company;
Luxembourg;;;;;;;;;;Lyxor asset management Luxembourg SA;Financial company;
Luxembourg;;;;;;;;;;Red & Black auto lease Germany 1 SA;Specialist Financing;
Luxembourg;;;;;;;;;;Rosinvest;Financial company;
Luxembourg;;;;;;;;;;SG Issuer;Financial company;
Luxembourg;;;;;;;;;;SGBT Asset based funding SA;Financial company;
Luxembourg;;;;;;;;;;SGBT securities;Financial company;
Luxembourg;;;;;;;;;;Société Générale Bank & trust;Bank;company carrying out sub-consolidation
Luxembourg;;;;;;;;;;Société Générale Bank & Trust Luxembourg;Bank;company carrying out sub-consolidation
Luxembourg;;;;;;;;;;Société Générale Bank & Trust Credit international;Financial company;
Luxembourg;;;;;;;;;;Société Générale capital market finance;Financial company;entrée dans le périmètre
Luxembourg;;;;;;;;;;Société Générale Financing and distribution;Financial company;
Luxembourg;;;;;;;;;;Société Générale LDG;Financial company;
Luxembourg;;;;;;;;;;Société Générale Life insurance Broker SA;Financial company;
Luxembourg;;;;;;;;;;Société Générale Private Wealth Management SA;Financial company;
Luxembourg;;;;;;;;;;Société Générale RE SA;Insurance;
Luxembourg;;;;;;;;;;Sogelife;Insurance;
Luxembourg;;;;;;;;;;Well investments SA;Financial company;
Macédoine;19 ;4 ;0 ;0 ;0 ;375 ;1;0;1;Ohridska Banka AD Skopje;Bank;
Madagascar;44 ;19 ;-4 ;0 ;-4 ;805 ;1;0;1;Banky Fampandrosoana varotra SG;Bank;
Malte;0 ;0 ;0 ;0 ;0 ;0 ;2;0;2;LNG Malta investment 1 Limited;Financial company;
Malte;;;;;;;;;;LNG Malta Investment 2 Limited;Financial company;
Maroc;436 ;130 ;-59 ;10 ;-49 ;3778 ;10;0;10;ALD Automotive SA Maroc;Specialist Financing;
Maroc;;;;;;;;;;Athena courtage;Insurance;
Maroc;;;;;;;;;;Foncimmo;Group real estate management company;
Maroc;;;;;;;;;;La Marocaine vie;Insurance;
Maroc;;;;;;;;;;SG Marocaine de banques;Bank;company carrying out sub-consolidation
Maroc;;;;;;;;;;Société d'équipement domestique et ménager "EQDOM";Specialist Financing;
Maroc;;;;;;;;;;Société générale de leasing au Maroc;Specialist Financing;
Maroc;;;;;;;;;;Société Générale Tanger offshore;Financial company;
Maroc;;;;;;;;;;Sogecapital gestion;Financial company;
Maroc;;;;;;;;;;Sogefinancement Maroc;Specialist Financing;
Maurice;;0 ;;;;;1;0;1;SG Securities broking (M) Limited;Broker;Mise en équivalence
Mexique;8 ;2 ;1 ;0 ;1 ;90 ;3;;;ALD Automotive SA de CV;Specialist Financing;
Mexique;;;;;;;;;;ALD Fleet SA de CV Sofom ENR;Specialist Financing;
Mexique;;;;;;;;;;SGFP Mexico, S de RL de CV;Financial company;
Moldavie;22 ;6 ;-1 ;0 ;-1 ;736 ;1;0;1;Mobiasbanca groupe Société Générale;Bank;
Monaco;140 ;63 ;-21 ;0 ;-21 ;315 ;4;0;4;Crédit du Nord - Monaco;Bank;
Monaco;;;;;;;;;;Société Marseillaise de crédit - Monaco;Bank;
Monaco;;;;;;;;;;Société Générale (succursale Monaco);Bank;
Monaco;;;;;;;;;;Société Générale private banking (Monaco);Bank;
Monténégro;21 ;6 ;-1 ;0 ;-1 ;258 ;1;0;1;Société Générale Banka Monténégro AD;Bank;
Norvège;129 ;61 ;-7 ;-6 ;-13 ;328 ;3;0;3;ALD Automotive AS;Specialist Financing;company carrying out sub-consolidation
Norvège;;;;;;;;;;NF Fleet AS;Specialist Financing;
Norvège;;;;;;;;;;SG Finans AS;Specialist Financing;
Nouvelle-Calédonie;79 ;42 ;-17 ;1 ;-16 ;312 ;2;0;2;Credical;Specialist Financing;
Nouvelle-Calédonie;;;;;;;;;;Société Générale Calédonienne de banque;Bank;
Nouvelle-Zélande;0 ;0 ;0 ;0 ;0 ;0 ;1;0;1;SG Hambros trust company (New Zealand) Limited;Financial company;company carrying out sub-consolidation
Pays-Bas;32 ;7 ;-3 ;0 ;-3 ;164 ;12;1;13;Alvarenga investments BV;Specialist Financing;
Pays-Bas;;;;;;;;;;Axus Finance NL BV;Specialist Financing;
Pays-Bas;;;;;;;;;;Axus Nederland BV;Specialist Financing;company carrying out sub-consolidation
Pays-Bas;;;;;;;;;;Brigantia Investments BV;Financial company;company now sub-consolidated
Pays-Bas;;;;;;;;;;Herfsttatel Investments BV;Specialist Financing;
Pays-Bas;;;;;;;;;;Hordle Finance BV;Financial company;
Pays-Bas;;;;;;;;;;Montalis Investment BV;Specialist Financing;
Pays-Bas;;;;;;;;;;SG Amsterdam;Bank;
Pays-Bas;;;;;;;;;;SG Equipment Finance Benelux BV;Specialist Financing;
Pays-Bas;;;;;;;;;;Société Générale banque Nederland N.V;Bank;Dissolution par transferts d'actifs à Société Générale Capital Market Finance
Pays-Bas;;;;;;;;;;Sogelease BV;Specialist Financing;company carrying out sub-consolidation
Pays-Bas;;;;;;;;;;Sogelease Films;Specialist Financing;
Pays-Bas;;;;;;;;;;Tynevor BV;Financial company;
Philippines;;;;;;;1;0;1;Société Générale Manila offshore Branch;Bank;implantation en cours de liquidation
Pologne;195 ;43 ;0 ;-9 ;-9 ;3328 ;7;0;7;Ald Automotive polska SP Z.O.O;Specialist Financing;
Pologne;;;;;;;;;;Euro Bank SA;Specialist Financing;
Pologne;;;;;;;;;;Pema Polska SP Z.O.O;Services;
Pologne;;;;;;;;;;SG Equipment leasing Polska SP Z.O.O;Specialist Financing;
Pologne;;;;;;;;;;Société Générale SA oddzial W Polsce;Bank;
Pologne;;;;;;;;;;Sogessur Spolka akcyjna oddzial w polsce;Insurance;
Pologne;;;;;;;;;;Sogecap Spolka akcyjna oddzial w polsce;Insurance;
Polynésie Française;52 ;3 ;-6 ;4 ;-2 ;283 ;2;0;2;Banque de Polynésie;Bank;company carrying out sub consolidation 
Polynésie Française;;;;;;;;;;Sogelease BDP "SAS";Specialist Financing;
Portugal;16 ;11 ;-2 ;0 ;-2 ;85 ;1;0;1;SGALD Automotive Sociedade Geral de comercio e aluguer de benz SA;Specialist Financing;
République Tchèque;1118 ;586 ;-97 ;-5 ;-102 ;8436 ;16;0;16;ALD Automotive SRO;Specialist Financing;
République Tchèque;;;;;;;;;;Essox SRO;Specialist Financing;
République Tchèque;;;;;;;;;;Factoring KB;Financial company;
République Tchèque;;;;;;;;;;KB Penzijni Spolecnost, AS;Financial company;
République Tchèque;;;;;;;;;;KB Real Estate;Real estate and real estate financing;
République Tchèque;;;;;;;;;;Komercni Banka AS;Bank;company carrying out sub-consolidation
République Tchèque;;;;;;;;;;Komercni Pojivstovna AS;Insurance;
République Tchèque;;;;;;;;;;Modra Pyramida Stavebni Sporitelna AS;Financial company;
République Tchèque;;;;;;;;;;NP 33;Real estate and real estate financing;
République Tchèque;;;;;;;;;;Pema Praha Spol SRO;Specialist Financing;
République Tchèque;;;;;;;;;;Protos;Financial company;
République Tchèque;;;;;;;;;;SG Equipment Finance Czech Republic SRO;Specialist Financing;
République Tchèque;;;;;;;;;;Sogeprom Ceska Republika SRO;Real estate and real estate financing;
République Tchèque;;;;;;;;;;Sogeprom Michle SRO;Real estate and real estate financing;
République Tchèque;;;;;;;;;;Transformed fund;Financial company;
République Tchèque;;;;;;;;;;VN 42;Real estate and real estate financing;
Roumanie;596 ;24 ;-2 ;-10 ;-12 ;8250 ;7;0;7;ALD Automotive SRL;Specialist Financing;
Roumanie;;;;;;;;;;BRD - Groupe Société Générale SA;Bank;company carrying out sub-consolidation
Roumanie;;;;;;;;;;BRD Finance IFN SA;Financial company;
Roumanie;;;;;;;;;;SC BRD Sogelease IFN SA;Specialist Financing;
Roumanie;;;;;;;;;;SC Rogariu imobiliare SRL;Real estate and real estate financing;
Roumanie;;;;;;;;;;Société Générale european business services SA;Services;entrée dans le périmètre
Roumanie;;;;;;;;;;Sogeprom Romania SRL;Real estate and real estate financing;
Royaume-Uni;1452 ;243 ;-50 ;-45 ;-95 ;2934 ;52;0;52;ACR ;Financial company;
Royaume-Uni;;;;;;;;;;ALD Automotive Group PLC;Specialist Financing;company carrying out sub-consolidation
Royaume-Uni;;;;;;;;;;Ald Automotive Limited;Specialist Financing;
Royaume-Uni;;;;;;;;;;Ald funding Limited;Specialist Financing;
Royaume-Uni;;;;;;;;;;Bridgeview II Limited (UK branch);Specialist Financing;
Royaume-Uni;;;;;;;;;;Brigantia Investments BV (UK branch);Financial company;
Royaume-Uni;;;;;;;;;;Hordle Finance BV (UK branch);Financial company;
Royaume-Uni;;;;;;;;;;LNG Investment 1 Ltd;Financial company;
Royaume-Uni;;;;;;;;;;LNG Investment 2 Ltd;Financial company;
Royaume-Uni;;;;;;;;;;Lyxor asset management UK LLP;Financial company;
Royaume-Uni;;;;;;;;;;Self trade UK Nominees Limites;Financial company;
Royaume-Uni;;;;;;;;;;Selftrade UK Marketing service;Services;
Royaume-Uni;;;;;;;;;;Selftrade UK services;Services;
Royaume-Uni;;;;;;;;;;SG Equipment finance (December) Limited;Specialist Financing;company carrying out sub-consolidation
Royaume-Uni;;;;;;;;;;SG Equipment finance leasing limited;Specialist Financing;
Royaume-Uni;;;;;;;;;;SG Equipment finance operating leasing limited;Specialist Financing;
Royaume-Uni;;;;;;;;;;SG Equipment finance rental limited;Specialist Financing;
Royaume-Uni;;;;;;;;;;SG Financial services limited;Financial company;
Royaume-Uni;;;;;;;;;;SG Hambros (London) Nominees Limited;Financial company;
Royaume-Uni;;;;;;;;;;SG Hambros Bank Limited;Bank;
Royaume-Uni;;;;;;;;;;SG Hambros Limited (Holding);Bank;company carrying out sub-consolidation
Royaume-Uni;;;;;;;;;;SG Hambros trust company Ltd;Financial company;
Royaume-Uni;;;;;;;;;;SG Healthcare benefits trustee company limited;Financial company;
Royaume-Uni;;;;;;;;;;SG investment limited;Financial company;
Royaume-Uni;;;;;;;;;;SG leasing (assets) Limited;Specialist Financing;
Royaume-Uni;;;;;;;;;;SG leasing (central  1) Limited;Specialist Financing;
Royaume-Uni;;;;;;;;;;SG leasing (central 3) Limited;Specialist Financing;
Royaume-Uni;;;;;;;;;;SG leasing (december) limited;Specialist Financing;
Royaume-Uni;;;;;;;;;;SG leasing (june) Limited;Specialist Financing;
Royaume-Uni;;;;;;;;;;SG leasing (March) Limited;Specialist Financing;
Royaume-Uni;;;;;;;;;;SG leasing (USD) Limited;Specialist Financing;
Royaume-Uni;;;;;;;;;;SG leasing (utilities) limited;Specialist Financing;
Royaume-Uni;;;;;;;;;;SG leasing IX;Specialist Financing;
Royaume-Uni;;;;;;;;;;SG leasing XII;Specialist Financing;entité désormais sous-consolidée
Royaume-Uni;;;;;;;;;;SG Londres;Bank;
Royaume-Uni;;;;;;;;;;SGFLD Limited;Financial company;
Royaume-Uni;;;;;;;;;;Socgen nominees (UK) Limited;Financial company;
Royaume-Uni;;;;;;;;;;Société Générale Equipment Finance Limited;Specialist Financing;
Royaume-Uni;;;;;;;;;;Société Générale Investments (UK) Limited;Financial company;company carrying out sub-consolidation
Royaume-Uni;;;;;;;;;;Société Générale Newedge UK Ltd;Broker;
Royaume-Uni;;;;;;;;;;Société Générale securities services UK Limited;Broker;
Royaume-Uni;;;;;;;;;;Strabul Nominees Limited;Financial company;
Royaume-Uni;;;;;;;;;;Talos Holding Ltd;Financial company;
Royaume-Uni;;;;;;;;;;Talos Securities Ltd;Broker;
Royaume-Uni;;;;;;;;;;TH Investments (Hong-Kong) 2 Limited;Financial company;
Royaume-Uni;;;;;;;;;;TH leasing (June) Limited;Specialist Financing;
Royaume-Uni;;;;;;;;;;TH structured asset finance Limited;Financial company;
Royaume-Uni;;;;;;;;;;The Eiffel Limited partnership;Specialist Financing;
Royaume-Uni;;;;;;;;;;The Fenchurch Partnership;Financial company;
Royaume-Uni;;;;;;;;;;The Mars Maritime Limited Partnership;Financial company;
Royaume-Uni;;;;;;;;;;The saturn maritime Limited Partnership;Financial company;
Royaume-Uni;;;;;;;;;;Tynevor BV (UK branch);Financial company;
Russie;1234 ;187 ;-41 ;-10 ;-51 ;20966 ;21;0;21;ALD Automotive OOO;Specialist Financing;
Russie;;;;;;;;;;AVTO LCC;Services;
Russie;;;;;;;;;;BSGV leasing LLC;Specialist Financing;
Russie;;;;;;;;;;Closed Joint stock company SG finance;Financial company;
Russie;;;;;;;;;;Commercial bank Deltacredit;Bank;company carrying out sub-consolidation
Russie;;;;;;;;;;Credit institution obyedinyonnaya raschotnaya sistema;Financial company;
Russie;;;;;;;;;;inkakhran NCO;Financial company;
Russie;;;;;;;;;;LLC Rusfinance;Specialist Financing;entité désormée sous-consolidée
Russie;;;;;;;;;;LLC Rusfinance bank;Specialist Financing;
Russie;;;;;;;;;;PMD-service;Group real estate management company;
Russie;;;;;;;;;;Proektinvest LLC;Group real estate management company;
Russie;;;;;;;;;;RB factoring LLC;Specialist Financing;
Russie;;;;;;;;;;RB leasing LLC;Specialist Financing;
Russie;;;;;;;;;;RB securities;Financial company;
Russie;;;;;;;;;;RBS Avto;Group real estate management company;
Russie;;;;;;;;;;Real invest LLC;Real estate and real estate financing;
Russie;;;;;;;;;;Rosbank;Bank;company carrying out sub-consolidation
Russie;;;;;;;;;;SG Strakhovanie LLC;Insurance;
Russie;;;;;;;;;;Société Générale Strakhovanie Zhizni LLC;Insurance;
Russie;;;;;;;;;;Sosnovka LLC;Group real estate management company;
Russie;;;;;;;;;;Valmont LLC;Group real estate management company;
Sénégal;51 ;-34 ;0 ;8 ;8 ;756 ;1;0;1;SG de banques au Sénégal;Bank;
Serbie;93 ;9 ;0 ;3 ;3 ;1301 ;2;0;2;ALD Automotive D.O.O Beograd;Specialist Financing;
Serbie;;;;;;;;;;Société Générale Banka Srbija;Bank;
Singapour;142 ;110 ;0 ;15 ;15 ;376 ;4;0;4;Newedge financial Singapore PTE Ltd;Broker;
Singapour;;;;;;;;;;SG securities (Singapore) PTE Ltd;Broker;
Singapour;;;;;;;;;;SG Singapour;Bank;
Singapour;;;;;;;;;;Société Générale Bank & Trust Singapore branch;Bank;
Slovaquie;15 ;11 ;-3 ;2 ;-1 ;103 ;5;0;5;ALD Automotive SRO;Specialist Financing;
Slovaquie;;;;;;;;;;Komercni Banka Bratislava;Bank;
Slovaquie;;;;;;;;;;Pema Slovakia SPOL SRO;Specialist Financing;
Slovaquie;;;;;;;;;;SG Equipment finance Czech Republic SRO Organizacna Zlozka (Slovak Republic branch);Specialist Financing;
Slovaquie;;;;;;;;;;Truckcenter Zvolen Spol SRO;Services;
Slovénie;108 ;44 ;-4 ;-4 ;-8 ;837 ;3;0;3;ALD Automotive operational leasing DOO;Specialist Financing;
Slovénie;;;;;;;;;;SKB leasing D.O.O;Specialist Financing;
Slovénie;;;;;;;;;;SKB Banka;Bank;company carrying out sub-consolidation
Suède;54 ;30 ;-3 ;-4 ;-7 ;124 ;4;0;4;ALD Automotive AB;Specialist Financing;company carrying out sub-consolidation
Suède;;;;;;;;;;NF Fleet AB;Specialist Financing;
Suède;;;;;;;;;;Pema Truck - OCH Traileruthyrning AB;Specialist Financing;
Suède;;;;;;;;;;SG Finans AS Swedish Branch;Specialist Financing;
Suisse;232 ;36 ;-3 ;0 ;-3 ;709 ;8;0;8;ALD Automotive AG;Specialist Financing;
Suisse;;;;;;;;;;Newedge Group, Paris, Zurich branch;Broker;
Suisse;;;;;;;;;;PEMA Truck - Und Trailervermietung GMBH;Specialist Financing;
Suisse;;;;;;;;;;Rosbank (Switzerland);Bank;
Suisse;;;;;;;;;;SG Equipment Finance Schweiz AG;Specialist Financing;
Suisse;;;;;;;;;;SG Private banking (Lugano - Svizzera) SA;Bank;
Suisse;;;;;;;;;;SG private banking suisse SA;Bank;company carrying out sub-consolidation
Suisse;;;;;;;;;;SG Zurich;Bank;
Taïwan;32 ;21 ;-3 ;-1 ;-4 ;31 ;2;0;2;SG Securities (Hong-Kong) Limited;Broker;
Taïwan;;;;;;;;;;SG Tapei;Bank;
Tchad;21 ;6 ;-1 ;0 ;-1 ;195 ;1;0;1;Société Générale Tchad;Bank;
Thaïlande;0 ;0 ;0 ;0 ;0 ;0 ;1;0;1;SG Bangkok;Bank;
Tunisie;91 ;34 ;-12 ;-2 ;-14 ;1229 ;1;0;1;Union internationale de banques;Bank;
Turquie;22 ;3 ;0 ;0 ;0 ;125 ;2;0;2;ALD Automotive Turizm ticaret anonim sirketi;Specialist Financing;
Turquie;;;;;;;;;;SG Istanbul;Bank;
Ukraine;;4 ;;;;;1;0;1;First lease Ltd;Specialist Financing;Mise en équivalence
